Participants,Accuracy,MRDE
17,39.34,1.43
68,84.75,0.56
31,59.09,1.51
66,29.27,3.27
18,84.15,0.68
27,55.56,1.75
9,55.29,1.17
41,61.02,1.29
67,75.38,1.12
