,PoI_GT_centerLatAngle,PoI_GT_visibleMinLatAngle,PoI_GT_visibleMaxLatAngle,PoI_GT_minLatAngle,PoI_GT_maxLatAngle,PoI_GT_adjustedMinLatAngle,PoI_GT_adjustedMaxLatAngle,PoI_GT_centerLatAngle_predicted
607,0.331736374,0.2399096194999999,0.4327261754999999,0.2399096194999999,0.4327261754999999,0.2399096194999999,3.1420000000000003,0.32161978
4174,-0.391414733,-0.5257000844999999,-0.2703588504999999,-0.5257000844999999,-0.2703588504999999,-3.1420000000000003,-0.2703588504999999,-0.33763334
664,0.2125524855,0.1030336387499999,0.1274208695499999,0.1030336387499999,0.340028583,0.1030336387499999,0.1274208695499999,0.17017554
1632,0.3248629935,0.201398047,0.2631238429999999,0.201398047,0.4648766875,0.201398047,0.2631238429999999,0.20782638
1821,-0.8718317415,-1.136120114,-0.3636218915,-1.3930737915000002,-0.3636218915,-1.140547179,-0.3636218915,-0.45442262
766,0.3646579794999999,0.2422431145,0.4066842709999999,0.2422431145,0.4944309889999999,0.2422431145,0.4066842709999999,0.20938417
1408,0.4208970172,0.2627533212999999,0.5990637600000001,0.2627533212999999,0.5990637600000001,0.2627533212999999,3.1420000000000003,0.26282865
1604,0.7047905955000001,0.520162012,0.7357927960000001,0.520162012,0.8790075625,0.520162012,0.7357927960000001,0.47237778
797,-0.6561228685,-0.7754367744999999,-0.246155175,-1.086221883,-0.246155175,-0.7799845545,-0.246155175,-0.23575291
2880,0.276909235,0.19152049185,0.370700364,0.19152049185,0.370700364,0.19152049185,3.1420000000000003,0.25136358
4193,0.8756694389999999,0.595699312,0.9358344575,0.595699312,1.109998796,0.0,0.9405588175,0.42135343
117,-0.5949719905,-0.549943802,-0.2567623014999999,-0.8989664045,-0.2567623014999999,-0.554973822,-0.2567623014999999,-0.35360536
3530,-0.353576875,-0.38500957,-0.252844834,-0.459198999,-0.252844834,-0.38500957,-0.252844834,-0.2432933
2474,0.2712656125,0.1959921185,0.2230192995,0.1959921185,0.3535629624999999,0.1959921185,0.2230192995,0.21577951
4700,0.4832620155,0.2114439957999999,0.4653627795,0.2114439957999999,0.7822119879999999,0.2114439957999999,0.467034597,0.2766934
3515,0.499735476,0.3258394775,0.6213528289999999,0.3258394775,0.6750927709999999,0.3258394775,0.6615190902499999,0.22421184
1245,0.12053025445,0.07825048045,0.1657991449999999,0.07825048045,0.1657991449999999,0.07825048045,3.1420000000000003,0.20264655
3455,-0.5834684605,-0.8214356315,-0.25998924,-0.8724182429999999,-0.25998924,-1.0260951567499998,-0.25998924,-0.39877
3563,-0.2788034025,-0.4080084874999999,-0.165576978,-0.4080084874999999,-0.165576978,-3.1420000000000003,-0.165576978,-0.20561442
2539,0.354137579,0.2220517795,0.280250763,0.2220517795,0.503923656,0.2220517795,0.280250763,0.23116589
3456,0.576710535,0.399439758,0.5397852009999999,0.399439758,0.7635206985,0.399439758,0.5397852009999999,0.25848255
1750,-0.7327043980000001,-0.919378814,-0.5275567755000001,-0.920307778,-0.5275567755000001,-1.05821714325,-0.52424926325,-0.4775979
1914,0.2087532126649999,0.1279908817,0.2972935544049999,0.1279908817,0.2972935544049999,0.1279908817,3.1420000000000003,0.21837911
3261,-0.2677057379999999,-0.195177919,-0.159479944,-0.390848557,-0.159479944,-0.195177919,-0.159479944,-0.20561442
993,-0.341379194,-0.260608215,-0.209438791,-0.4816065345,-0.209438791,-0.260608215,-0.209438791,-0.20561442
1906,0.362872406,0.176605673,0.264985464,0.176605673,0.5640332220000001,0.176605673,0.264985464,0.23586091
2005,-0.4709905559999999,-0.435214279,-0.323468101,-0.6324829895,-0.323468101,-0.435214279,-0.323468101,-0.25836527
4972,-0.361198904,-0.5019645099999999,-0.1440112543,-0.6251086615,-0.1440112543,-0.573185462,-0.1440112543,-0.29633722
4725,0.4863225355,0.2174281789999999,0.472004422,0.2174281789999999,0.7794296399999999,0.2174281789999999,0.474684357,0.28069714
4319,0.2020777309999999,0.1052090806999999,0.1554092949999999,0.1052090806999999,0.313469825,0.1052090806999999,0.1554092949999999,0.15121794
4496,-0.2806597515,-0.214217091,-0.1739485089999999,-0.39495731,-0.1739485089999999,-0.214217091,-0.1739485089999999,-0.20561442
2473,-0.1895823165,-0.1397934382,-0.08319109015,-0.306372516,-0.08319109015,-0.1397934382,-0.08319109015,-0.20561442
2647,0.4847463395,0.217891522,0.71408308,0.217891522,0.7836081484999999,0.217891522,0.84555661175,0.28357556
342,-0.5404857485000001,-0.5211163704999999,-0.3853140945,-0.6953929455,-0.3853140945,-0.5211163704999999,-0.3853140945,-0.3953064
4321,0.0950235236,0.0612177347199999,0.06581979255,0.0612177347199999,0.1300862737499999,0.0612177347199999,0.06581979255,0.10347374
2760,0.598707431,0.4379732145,0.5672119935000001,0.4379732145,0.7549206935000001,0.4379732145,0.5672119935000001,0.29072317
4288,0.330528949,0.1680374657,0.239252313,0.1680374657,0.5060532524999999,0.1680374657,0.239252313,0.18583001
2050,0.395418962,0.2865216415,0.3523585775,0.2865216415,0.508629334,0.2865216415,0.3523585775,0.27855232
4203,-1.0597842785,-1.3907256965,-0.539482402,-1.605246131,-0.539482402,-1.393804004,-0.5361370145,-0.5635917
1616,-0.1573364125,-0.203218215,-0.11330697475,-0.203218215,-0.11330697475,-3.1420000000000003,-0.11330697475,-0.20561442
323,0.4330932185,0.2833993725,0.514325454,0.2833993725,0.588451959,0.2833993725,0.5241149925,0.26499292
4285,0.1317382061999999,0.06970386205,0.0883614144999999,0.06970386205,0.1978234509999999,0.0,0.0883614144999999,0.013411719
1734,-0.78061741,-0.8280617245,-0.466930828,-1.0809354490000005,-0.466930828,-0.8280617245,-0.466930828,-0.41425535
1321,0.401120516,0.2562915425,0.4897351335000001,0.2562915425,0.5520347155,0.2562915425,0.50943992025,0.22724155
4046,-0.3191118575,-0.3263094625,-0.195549613,-0.4511799434999999,-0.195549613,-0.3263094625,-0.195549613,-0.27529582
4404,-0.6958364945,-0.8957551480000001,-0.4751329534999999,-0.917056756,-0.4751329534999999,-0.9683038185,-0.4751329534999999,-0.42313305
2259,-0.748732495,-0.8078015369999999,-0.5385705505,-0.939739859,-0.5385705505,-0.8105865919999999,0.0,-0.46574384
2260,-0.294303259,-0.4798585814999999,-0.1261357976,-0.4798585814999999,-0.1261357976,-3.1420000000000003,-0.1261357976,-0.2711533
2450,-0.8271333700000001,-1.052479258,-0.35622252475,-1.3114608090000002,-0.35622252475,-1.0579699305,-0.35622252475,-0.4288625
3071,-0.3700285245,-0.3213554535,-0.2673042085,-0.477724839,-0.2673042085,-0.3213554535,-0.2673042085,-0.20561442
3819,-0.488898643,-0.456184534,-0.1912172015,-0.8262497615000001,-0.1912172015,-0.4564952164999999,-0.1912172015,-0.26469675
3788,0.4514884750000001,0.328931049,0.3972512254999999,0.328931049,0.577534495,0.328931049,0.3972512254999999,0.21152595
3473,0.725220242,0.4559280505,0.9863084545,0.4559280505,0.9863084545,0.4496232182499999,3.1420000000000003,0.35701093
1271,-0.268954276,-0.204725783,-0.1644062999999999,-0.387641376,-0.1644062999999999,-0.204725783,-0.1644062999999999,-0.20561442
4611,-0.388687227,-0.559101864,-0.14800085825,-0.6743581225,-0.14800085825,-0.6675743670000001,-0.14800085825,-0.29325074
3741,0.5106045440000001,0.3270035055,0.479507702,0.3270035055,0.6952756035000001,0.3270035055,0.479507702,0.24127018
3133,-0.5328386635,-0.6701826875,-0.376942011,-0.6892086315,-0.376942011,-0.71351766875,-0.376942011,-0.38247773
2748,-0.378193987,-0.4395761445,-0.2289622345,-0.5354782199999999,-0.2289622345,-0.4452064379999999,-0.2289622345,-0.20561442
2222,0.6929222875000002,0.5135695055,0.8556767255000001,0.5135695055,0.8634371064999999,0.5119994242500001,0.92740451725,0.40824068
4541,0.4334567019999999,0.2780749584999999,0.5947444369999999,0.2780749584999999,0.5947444369999999,0.2780749584999999,3.1420000000000003,0.2734794
4677,-0.805652837,-0.9271020175,-0.478307859,-1.1175761305,-0.478307859,-0.93147615,-0.478307859,-0.43664518
4453,-0.473810258,-0.675026163,-0.191427793,-0.7928721215000001,-0.191427793,-0.7830797955,-0.191427793,-0.30675724
2686,0.2563480904999999,0.1844153755,0.2478138515,0.1844153755,0.3348586175,0.1844153755,0.2478138515,0.23554361
3612,0.4674224644999999,0.324195715,0.559674533,0.324195715,0.623560423,0.0,0.5626406795000001,0.37170112
3667,0.16403500025,0.1078806763,0.1202373605,0.1078806763,0.22318822,0.1078806763,0.1202373605,0.22642457
2669,-0.3724631125,-0.3127338025,-0.2640498745,-0.4858479845,-0.2640498745,-0.3127338025,0.0,-0.20561442
