Participants,Accuracy,MRDE
P28,39.02,11.98
P74,28.57,2.13
P22,20.00,4.62
P26,54.72,1.27
P32,47.54,2.51
P52,22.22,1.98
P21,33.87,5.70
P66,21.57,3.11
P71,37.50,1.53
P19,45.61,2.81
P58,47.62,1.29
P60,55.88,2.23
