Participants,Accuracy,MRDE
P28,21.95,15.70
P74,39.29,1.93
P22,20.00,4.44
P26,41.51,2.48
P32,45.90,2.85
P52,37.50,1.20
P21,46.77,6.50
P66,45.10,5.17
P71,33.33,2.09
P19,35.09,3.85
P58,71.43,0.79
P60,30.88,5.39
