Participants,Accuracy,MRDE
P28,31.71,13.96
P74,19.64,3.30
P22,22.22,5.42
P26,39.62,2.30
P32,34.43,5.76
P52,41.67,1.18
P21,35.48,8.51
P66,19.61,6.53
P71,33.33,2.24
P19,17.54,7.94
P58,47.62,1.48
P60,51.47,6.29
