Participants,Accuracy,MRDE
17,39.34,1.53
68,72.88,0.78
31,50.00,1.59
66,31.71,3.33
18,65.85,0.88
27,53.33,1.71
9,52.94,1.17
41,59.32,1.40
67,67.69,1.31
17,39.34,1.53
68,72.88,0.78
31,50.00,1.59
66,31.71,3.33
18,65.85,0.88
27,53.33,1.71
9,52.94,1.17
41,59.32,1.40
67,67.69,1.31
