Participants,Accuracy,MRDE
17,45.90,1.32
68,72.88,0.77
31,56.82,1.48
66,34.15,3.21
18,78.05,0.75
27,62.22,1.69
9,55.29,1.19
41,59.32,1.45
67,61.54,1.34
