Participant,trigger_no,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled,horizontal_angle_finger_pointing_unscaled,eyegaze_horiz_angle_x,horizontal_angle_finger_pointing,eyegaze_horiz_angle_x_scaled_without_tablet,side,difference,D_p,D_g
53,49.0,-0.37451032,-0.12249114,-0.23262544,270.42,22.590000000000003,8.49010017507318,3.7792711809588218,270.42,22.590000000000003,16.326462636665728,7.267538480983815,18.0,20.6159244567034,9.72,10.307962228351698,0.5,-2.6159244567034,-9.50989982492682,-12.12582428163022
53,49.0,-0.37524596,-0.12009337,-0.23108095,272.51,23.460000000000008,8.537363185184994,3.8020783096889073,272.51,23.460000000000008,16.417349405110745,7.311396589531768,18.0,20.775259129118567,9.72,10.387629564559283,0.5,-2.7752591291185666,-9.462636814815006,-12.237895943933573
53,49.0,-0.3719084,-0.11767734,-0.23192598,277.77,23.22,8.667477617568386,3.825475788881341,277.77,23.22,16.667559458584005,7.356389942018819,18.0,21.176264094144305,9.72,10.588132047072152,0.5,-3.1762640941443046,-9.332522382431614,-12.508786476575919
53,49.0,-0.34950784,-0.09579047,-0.21273677,339.15,20.31,49.27383211595475,20.76126426223857,339.15,20.31,94.75357915898098,39.923911176284776,32.0,25.85567184191612,17.28,12.927835920958058,0.5,6.14432815808388,17.273832115954747,23.418160274038627
53,49.0,-0.34972125,-0.09458388,-0.21236426,385.79,-71.53999999999999,50.8294787347689,21.288866622649483,385.79,-71.53999999999999,97.7450876069606,40.93849051535495,32.0,29.41135084739148,17.28,14.70567542369574,0.5,2.5886491526085216,18.829478734768898,21.41812788737742
53,49.0,-0.34861693,-0.09291837,-0.21423048,388.63,-69.88,52.41991241203414,21.846584461079733,388.63,-69.88,100.80349156834164,42.010981918656334,32.0,29.62786303383123,17.28,14.813931516915614,0.5,2.372136966168771,20.419912412034137,22.792049378202908
53,51.0,-0.36250108,-0.36445442,-0.2445233,-270.99,-32.34,-74.2864391097224,37.95553984248093,-270.99,-32.34,-142.85282240799617,72.98850311709083,-16.0,-20.659379367362085,-8.64,-10.329689683681044,-0.5,4.659379367362085,-58.286439109722394,-53.62705974236031
53,51.0,-0.36093342,-0.36377865,-0.24507816,-276.91,-34.59,-76.22663110702727,38.68858781134661,-276.91,-34.59,-146.58381161881346,74.39815436121953,-16.0,-21.110700544729447,-8.64,-10.555350272364723,-0.5,5.110700544729447,-60.22663110702727,-55.11593056229783
53,51.0,-0.36264974,-0.36656189,-0.24484819,-283.04,-36.34,-78.24244797778996,39.45118858847344,-283.04,-36.34,-150.46022746129012,75.86463565563443,-16.0,-21.578031426023703,-8.64,-10.789015713011851,-0.5,5.578031426023703,-62.242447977789965,-56.664416551766266
53,52.0,-0.32669932,-0.4244287,-0.26096973,-399.74,-68.53999999999999,-52.686272840992174,16.42710821420823,-399.74,-68.53999999999999,-101.31570267322796,31.589329095922423,-29.0,-30.47485260824871,-15.66,-15.237426304124355,-0.5,1.4748526082487103,-23.686272840992174,-22.211420232743464
