Participant,trigger_no,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled,horizontal_angle_finger_pointing_unscaled,eyegaze_horiz_angle_x,horizontal_angle_finger_pointing,eyegaze_horiz_angle_x_scaled_without_tablet,side,difference,D_p,D_g
18,50.0,-0.3367106,-0.08270829,-0.28142312,365.36,-141.77,14.393428086294168,5.331237060208965,365.36,-141.77,31.63675493367458,11.718059058339303,29.0,29.059585436388893,13.92,12.495621737647223,0.5,-0.05958543638889324,-14.606571913705832,-14.666157350094725
18,50.0,-0.31850344,-0.07866086,-0.24340816,369.65,-152.98,14.588248236629775,5.384497346701405,369.65,-152.98,32.06496962411225,11.835125168049688,45.0,29.4007985454378,21.6,12.642343374538251,0.5,15.599201454562198,-30.411751763370226,-14.812550308808026
18,50.0,-0.32794246,-0.08151731,-0.2476591,380.79,-147.89,14.785907792838316,5.438782286648312,380.79,-147.89,32.49942532865862,11.954443466052991,38.0,30.28683911299137,18.24,13.023340818586288,0.5,7.71316088700863,-23.214092207161684,-15.500931320153054
18,51.0,-0.29805481,-0.19088213,-0.2467733,-428.37,-86.39999999999998,-14.63304029417783,4.288119883607803,-428.37,-86.39999999999998,-32.16342256660287,9.425287504169953,-15.0,-34.07120268607924,-7.199999999999999,-14.650617155014071,-0.5,19.07120268607924,0.3669597058221701,19.438162391901407
18,51.0,-0.28829437,-0.18864731,-0.23654728,-435.99,-95.29000000000002,-14.869878589294338,4.323477143487083,-435.99,-95.29000000000002,-32.68399313926896,9.503002761384607,-15.0,-34.67727352313114,-7.199999999999999,-14.911227614946393,-0.5,19.67727352313114,0.1301214107056623,19.807394933836804
18,51.0,-0.29366976,-0.17553416,-0.24634776,-435.58,-100.38,-14.915192038817652,4.359390051801074,-435.58,-100.38,-32.7835921013212,9.58193933385876,-14.0,-34.64466341247612,-6.72,-14.89720526736473,-0.5,20.64466341247612,-0.9151920388176524,19.72947137365847
18,52.0,-0.30244526,-0.14243942,-0.25849113,-256.5,-116.9,-11.70629508268668,4.295811644144107,-256.5,-116.9,-25.73043659174532,9.442193993828749,-6.0,-20.401203373203828,-2.88,-8.772517450477645,-0.5,14.401203373203828,-5.70629508268668,8.694908290517148
18,52.0,-0.29199728,-0.15688924,-0.24003947,-262.63,-113.27,-11.794789373385893,4.325170259946932,-262.63,-113.27,-25.92494704270219,9.506724231363355,-14.0,-20.888764295924062,-6.72,-8.982168647247347,-0.5,6.888764295924062,2.2052106266141074,9.09397492253817
18,52.0,-0.289455,-0.15906036,-0.23470157,-267.8,-122.39,-11.925752293736256,4.354887179527951,-267.8,-122.39,-26.21280354163229,9.572042020602437,-14.0,-21.299969837598383,-6.72,-9.158987030167305,-0.5,7.299969837598383,2.074247706263744,9.374217543862127
18,53.0,-0.26203248,-0.20699546,-0.25222677,-438.79,-158.05,-15.47982743202874,4.389394453838623,-438.79,-158.05,-34.02466069559917,9.647889009537291,-15.0,-34.899976717848375,-7.199999999999999,-15.0069899886748,-0.5,19.899976717848375,-0.4798274320287401,19.420149285819633
18,53.0,-0.25657609,-0.21212076,-0.23842488,-444.36,-157.46,-15.6316827648054,4.426136617282376,-444.36,-157.46,-34.35843871704227,9.72864828478666,-15.0,-35.342997001625164,-7.199999999999999,-15.19748871069882,-0.5,20.342997001625164,-0.6316827648054009,19.711314236819764
18,53.0,-0.26025128,-0.20386884,-0.23842756,-448.65,-170.92,-15.801844692631098,4.46342237672515,-448.65,-170.92,-34.732454634403155,9.81060238404188,-15.0,-35.684210110674066,-7.199999999999999,-15.344210347589849,-0.5,20.684210110674066,-0.8018446926310983,19.882365418042966
18,54.0,-0.36282149,-0.14254479,-0.25699127,151.09000000000003,-162.89,7.101462056560315,3.782048374222522,,,15.609013600319573,8.312942326541103,9.0,12.017223460652502,4.32,,0.5,-3.0172234606525024,-1.8985379434396847,-4.915761404092187
18,54.0,-0.3590064,-0.14641145,-0.23189081,157.51999999999998,-161.46,7.138771113443879,3.801674426336806,,,15.691018907349646,8.3560803890883,15.0,12.528645439949578,7.199999999999999,,0.5,2.471354560050422,-7.861228886556121,-5.389874326505699
18,54.0,-0.36108267,-0.1492676,-0.22240733,167.10000000000002,-184.84,7.17621299136165,3.821498937207558,,,15.773316155012909,8.399654663982211,18.0,13.290608513303548,8.64,,0.5,4.709391486696452,-10.82378700863835,-6.114395521941898
18,55.0,-0.30264708,-0.18780631,-0.23314863,-131.07,-117.94,-7.46299330305151,2.90865379148161,,,-16.40365928010722,6.393221033676579,-6.0,-10.424895618424271,-2.88,,-0.5,4.424895618424271,-1.46299330305151,2.961902315372761
