Participant,trigger_no,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled,horizontal_angle_finger_pointing_unscaled,eyegaze_horiz_angle_x,horizontal_angle_finger_pointing,eyegaze_horiz_angle_x_scaled_without_tablet,side,difference,D_p,D_g
11,2.0,-0.37760401,-0.0704712,-0.28348571,377.0,-172.8,14.027020298061675,2.2591361579637037,377.0,-172.8,32.24811966524379,5.193754027158553,27.0,28.14039953948712,11.34,12.663179792769204,0.5,-1.1403995394871203,-12.972979701938325,-14.113379241425445
11,2.0,-0.37628156,-0.06759862,-0.27911422,355.24,-127.23,14.102218573944914,2.272713399024707,355.24,-127.23,32.42100050149936,5.224968104357801,29.0,26.51616852097455,12.18,11.932275834438547,0.5,2.4838314790254508,-14.897781426055086,-12.413949947029636
11,2.0,-0.37018776,-0.07164488,-0.26825091,376.69000000000005,-150.28,14.24733222841384,2.286446237355867,376.69000000000005,-150.28,32.75461679312342,5.2565398996811386,30.0,28.11726021891089,12.6,12.6527670985099,0.5,1.8827397810891107,-15.75266777158616,-13.869927990497048
11,4.0,-0.35885093,-0.06743463,-0.25981942,390.76,-177.92000000000002,15.195061985814968,2.381507864699408,390.76,-177.92000000000002,34.933447505388614,5.475086580943939,32.0,29.1674868011936,13.44,13.12536906053712,0.5,2.8325131988063994,-16.804938014185034,-13.972424815378632
11,4.0,-0.35668671,-0.06484371,-0.2577911,411.9000000000001,-212.47,15.349192580308356,2.396456731432909,411.9000000000001,-212.47,35.28779374212891,5.50945402556426,37.0,30.745439178553703,15.54,13.835447630349169,0.5,6.254560821446297,-21.650807419691645,-15.396246598245346
11,4.0,-0.35501203,-0.06643842,-0.25620669,421.19000000000005,-225.64,15.504256698523838,2.4115799856498743,421.19000000000005,-225.64,35.6442861499063,5.544222387009059,38.0,31.43887236614478,15.96,14.14749256476515,0.5,6.561127633855222,-22.49574330147616,-15.93461566762094
11,4.0,-0.3357524,-0.02090278,-0.3476747,629.52,-230.5,17.904347909908218,2.7949827306403643,629.52,-230.5,41.16209584487899,6.425665297742196,45.0,46.98924222307143,18.9,21.145159000382144,0.5,-1.9892422230714288,-27.095652090091782,-29.08489431316321
11,4.0,-0.33253995,-0.02343474,-0.32657534,670.52,-256.21000000000004,18.01834376576542,2.8150284195841024,670.52,-256.21000000000004,41.42417231749469,6.4717503366238525,45.0,48.91055226059504,18.9,22.00974851726777,0.5,-3.91055226059504,-26.98165623423458,-30.89220849482962
11,4.0,-0.32599494,-0.03071418,-0.3187519,-713.75,-74.75,18.13411997423608,2.835348629933005,-713.75,-74.75,41.69034182076874,6.518466500215979,-45.0,-50.5239600485155,-18.9,-22.735782021831973,0.5,5.523960048515498,63.13411997423608,68.65808002275158
11,4.0,-0.28257173,-0.01740101,-0.28164154,617.22,-291.56,22.122887442686103,3.622816043341565,617.22,-291.56,50.86051823073535,8.328854083642259,-45.0,46.07113369698207,-18.9,20.73201016364193,0.5,-91.07113369698207,67.1228874426861,-23.94824625429597
11,4.0,-0.28045222,-0.01269941,-0.2838946,601.05,-275.57,22.298671822421543,3.654499061606053,601.05,-275.57,51.26464651974712,8.401693342632313,45.0,44.86415687853774,18.9,20.188870595341985,0.5,0.1358431214622584,-22.701328177578457,-22.5654850561162
11,4.0,-0.27816644,-0.00729935,-0.28408021,100.72000000000004,-168.29,22.475834090593995,3.68663805548918,601.05,-275.57,51.67194257427559,8.475580889569624,-45.0,7.518039898188709,-18.9,20.188870595341985,0.5,-52.51803989818871,67.47583409059399,14.957794192405286
11,5.0,-0.33129668,0.00318836,-0.35896754,407.72,-61.79,21.802975495228974,3.5462253149825878,407.72,-61.79,50.12504066353142,8.152771999144967,45.0,30.43343156562252,18.9,13.695044204530134,0.5,14.56656843437748,-23.197024504771026,-8.630456070393546
11,5.0,-0.31821811,0.00628924,-0.34662554,443.06,-79.36,22.041693117498728,3.5767375011378952,443.06,-79.36,50.67385247712957,8.222919515116022,45.0,33.07131411131343,18.9,14.882091350091043,0.5,11.928685888686573,-22.958306882501272,-11.0296209938147
11,5.0,-0.28941065,0.00351758,-0.32279056,477.7000000000001,-147.31,22.214779958976965,3.6077396867865694,477.7000000000001,-147.31,51.07177912568804,8.294193539922325,-31.0,35.65694657828382,-13.02,16.04562596022772,0.5,-66.65694657828382,53.21477995897696,-13.442166619306857
11,6.0,-0.36379296,-0.04276787,-0.29215667,491.5999999999999,-197.89,16.069599128101228,2.5951143231061726,491.5999999999999,-197.89,36.94400839550472,5.96616782882109,38.0,36.6944838557344,15.96,16.51251773508048,0.5,1.305516144265603,-21.930400871898772,-20.62488472763317
11,6.0,-0.35926789,-0.04250479,-0.28704795,506.82,-216.12,16.166380863714277,2.6126493485839277,506.82,-216.12,37.16650960567912,6.00648085239445,41.0,37.83054985305798,17.22,17.023747433876093,0.5,3.169450146942019,-24.833619136285723,-21.664168989343704
11,6.0,-0.35708028,-0.04336616,-0.28626603,473.48,-193.83,16.333097850838488,2.6303922346889186,473.48,-193.83,37.54979195907768,6.047271747549821,41.0,35.3419532465686,17.22,15.90387896095587,0.5,5.6580467534314,-24.666902149161512,-19.008855395730112
11,7.0,-0.36165249,-0.06065664,-0.24157093,432.5799999999999,-188.27,15.77168124528274,2.012279245971218,432.5799999999999,-188.27,36.25909518290502,4.626229986487829,38.0,32.289055789897446,15.96,14.530075105453852,0.5,5.710944210102554,-22.228318754717257,-16.517374544614704
11,7.0,-0.36425877,-0.05781261,-0.24238408,438.1500000000001,-181.07,15.722387113681028,2.0265877560356,438.1500000000001,-181.07,36.14576797435268,4.659125251125845,38.0,32.704817130573694,15.96,14.717167708758163,0.5,5.295182869426306,-22.27761288631897,-16.982430016892664
11,7.0,-0.35874954,-0.05731267,-0.24787787,442.28,-182.38,15.674035523900324,2.041070787954898,442.28,-182.38,36.03460766944684,4.69242174150831,41.0,33.01309259502483,17.22,14.855891667761174,0.5,7.98690740497517,-25.325964476099678,-17.339057071124508
11,7.0,-0.31585896,-0.01110571,-0.28607124,485.0899999999999,-180.99,19.14236365325261,2.580191204470923,485.0899999999999,-180.99,44.00829403882775,5.931859579078651,45.0,36.20855812363344,18.9,16.293851155635046,0.5,8.791441876366562,-25.85763634674739,-17.06619447038083
11,7.0,-0.31126937,-0.01420887,-0.28680989,503.3399999999999,-191.71,19.273227027191563,2.602524201794869,503.3399999999999,-191.71,44.309148935513406,5.983203139926406,-45.0,37.57079231884733,-18.9,16.9068565434813,0.5,-82.57079231884734,64.27322702719157,-18.29756529165577
11,7.0,-0.31315958,-0.01086202,-0.28649506,-725.75,-163.75,19.475328284187864,2.625214871278944,-725.75,-163.75,44.7737797253479,6.035368989070289,-45.0,-50.97181786612007,-18.9,-22.937318039754032,0.5,5.97181786612007,64.47532828418787,70.44714615030793
11,8.0,-0.30166307,0.02448502,-0.25610054,419.4500000000001,-175.2,21.830681200041635,3.5245154175395044,419.4500000000001,-175.2,50.18873607889572,8.102860944923318,-45.0,31.308993599039454,-18.9,14.089047119567754,0.5,-76.30899359903945,66.83068120004164,-9.478312398997819
11,8.0,-0.30238825,0.02358634,-0.26072389,422.19000000000005,-166.32999999999998,21.999211747969355,3.5547579008712376,422.19000000000005,-166.32999999999998,50.57618780858154,8.172388414102976,-45.0,31.513515335745534,-18.9,14.181081901085491,0.5,-76.51351533574554,66.99921174796935,-9.51430358777618
11,8.0,-0.3097859,0.02540799,-0.26654583,423.71,-175.42000000000002,22.17025319639694,3.585466381078037,423.71,-175.42000000000002,50.96941209851656,8.242987210098406,-45.0,31.626972649538697,-18.9,14.232137692292412,0.5,-76.6269726495387,67.17025319639694,-9.456719453141758
11,9.0,-0.27622691,0.08317686,-0.24669832,587.51,-154.54,29.05600626149916,4.827113603726964,587.51,-154.54,66.79975839518656,11.097534174968295,-31.0,43.85349107014344,-13.02,19.73407098156455,0.5,-74.85349107014343,60.056006261499164,-14.797484808644281
11,9.0,-0.27246791,0.08892696,-0.24131565,672.6099999999999,-176.02,29.34523630782897,4.877546519907455,672.6099999999999,-176.02,67.4646982716988,11.213479449267236,-31.0,48.98855416382784,-13.02,22.044849373722528,0.5,-79.98855416382784,60.34523630782897,-19.643317855998873
11,9.0,-0.26702988,0.09272495,-0.23528519,600.0,-147.75,29.640325136946597,4.928755149725031,600.0,-147.75,68.14310748984022,11.331208089217846,-45.0,44.78578176045696,-18.9,20.15360179220563,0.5,-89.78578176045696,74.6403251369466,-15.145456623510366
11,10.0,-0.29652798,0.08068392,-0.26117626,559.2,-177.6,27.356010249987836,4.476198338600739,559.2,-177.6,62.89146756472203,10.290779980443098,-31.0,41.74034860074589,-13.02,18.78315687033565,0.5,-72.74034860074589,58.35601024998783,-14.384338350758053
11,10.0,-0.29504287,0.08490186,-0.26039413,499.5799999999999,-154.44,27.54351638222863,4.521165905783533,499.5799999999999,-154.44,63.32254416274362,10.394160417396344,-45.0,37.29013475314847,-18.9,16.780560638916814,0.5,-82.29013475314846,72.54351638222863,-9.74661837091984
11,10.0,-0.29331556,0.08693985,-0.25917515,497.53,-154.9,27.87358733913993,4.566887069759531,497.53,-154.9,64.0813772926827,10.49927337337716,-45.0,37.13711666546691,-18.9,16.71170249946011,0.5,-82.13711666546692,72.87358733913993,-9.263529326326982
11,10.0,-0.23061848,0.13257369,-0.25145155,557.57,218.09,35.91974603657164,5.96394779978912,557.57,218.09,82.5794961380782,13.71111599171519,-45.0,41.61868056029664,-18.9,18.72840625213349,0.5,-86.61868056029664,80.91974603657164,-5.698934523725001
11,10.0,-0.22981457,0.13658497,-0.24802957,525.74,410.02,36.203015562758615,6.030782401090495,557.57,218.09,83.23073277878206,13.864768740107046,-45.0,39.2427948379044,-18.9,18.72840625213349,0.5,-84.2427948379044,81.20301556275862,-3.039779275145783
11,10.0,-0.23147543,0.13793011,-0.24929796,572.78,412.81,36.632539124987,6.0983964767219625,557.57,218.09,84.21820744834511,14.02021349998379,-39.0,42.75400012792422,-16.38,18.72840625213349,0.5,-81.75400012792423,75.632539124987,-6.121461002937224
11,10.0,-0.17065732,0.1597698,-0.26127163,416.44000000000005,335.72,43.89773984160849,7.197115041281666,557.57,218.09,100.92090389585792,16.54616747990655,-31.0,31.08431826054116,-13.02,18.72840625213349,0.5,-62.08431826054116,74.89773984160848,12.813421581067331
11,10.0,-0.15880571,0.16615704,-0.25076571,422.86,322.63,44.4944388369281,7.274020628811268,557.57,218.09,102.29271488609773,16.7229734256371,-31.0,31.563526125378047,-13.02,18.72840625213349,0.5,-62.56352612537805,75.4944388369281,12.93091271155005
11,10.0,-0.15653481,0.16619416,-0.24785022,443.67,314.2,45.1030086724389,7.350929837122258,557.57,218.09,103.69181693793703,16.89978769554407,-29.0,33.116846322769895,-12.18,18.72840625213349,0.5,-62.116846322769895,74.1030086724389,11.986162349669002
11,10.0,-0.20032282,0.02597782,-0.28740847,388.44000000000005,56.93000000000001,57.24784282055921,8.540259222886899,388.44000000000005,56.93000000000001,131.6127906444656,19.634055953416976,0.0,28.994315111719835,0.0,13.047441800273926,0.5,-28.994315111719835,57.24784282055921,28.25352770883937
11,10.0,-0.16170189,0.14791963,-0.38129079,187.24,-59.59,58.13070162088096,8.592456491795296,388.44000000000005,56.93000000000001,133.64248302640533,19.754057474637385,-21.0,13.976149628046604,-8.82,13.047441800273926,0.5,-34.976149628046606,79.13070162088096,44.15455199283436
11,10.0,-0.16170189,0.14791963,-0.38129079,312.5,-70.27,58.95864307947308,8.64111497659859,312.5,-70.27,135.5459204397086,19.865923331200165,-21.0,23.325928000238,-8.82,10.4966676001071,0.5,-44.325928000238,79.95864307947308,35.632715079235076
11,11.0,-0.24262092,0.12509097,-0.27952346,788.6600000000001,-244.92,33.91684734473478,5.640754744220459,788.6600000000001,-244.92,77.97483204554526,12.968095156962832,-45.0,53.31971247491203,-18.9,23.993870613710413,0.5,-98.31971247491202,78.91684734473478,-19.402865130177254
11,11.0,-0.27551341,0.10676066,-0.34988689,796.3,-244.43,34.229622040291254,5.703370351191181,796.3,-244.43,78.6939010706296,13.11204843738853,45.0,53.60484861878694,18.9,24.12218187845412,0.5,-8.604848618786939,-10.770377959708746,-19.375226578495685
11,11.0,-0.31364557,0.08171807,-0.4293631,777.23,-237.23,34.61821232397767,5.766822896646684,777.23,-237.23,79.58727013282467,13.257925839390722,45.0,52.89312790364367,18.9,23.80190755663965,0.5,-7.8931279036436734,-10.381787676022327,-18.274915579666
11,11.0,-0.07363149,0.16117702,-0.30055034,628.34,-199.22,47.15268294603669,7.667126492278001,628.34,-199.22,108.40401809293834,17.62672380574712,-45.0,46.90116351894254,-18.9,21.105523583524143,0.5,-91.90116351894254,92.15268294603669,0.2515194270941521
11,11.0,-0.06579424,0.16024253,-0.28731915,625.46,-215.23,47.82657634717083,7.743984243811159,625.46,-215.23,109.95329902214571,17.80341977652185,-31.0,46.68619176649234,-13.02,21.00878629492156,0.5,-77.68619176649234,78.82657634717083,1.1403845806784858
11,11.0,-0.0613041,0.15931457,-0.28712696,631.97,-219.56,48.51551591745287,7.820274677187964,631.97,-219.56,111.53717109422414,17.978811482855136,-31.0,47.1721174985933,-13.02,21.227452874366985,0.5,-78.17211749859331,79.51551591745287,1.3433984188595716
11,12.0,-0.38804775,-0.05327224,-0.26800185,378.3299999999999,-172.73,15.642631932979066,2.4021744341128644,378.3299999999999,-172.73,35.96241081391887,5.5225990240254745,45.0,28.23967468905613,18.9,12.70785361007526,0.5,16.76032531094387,-29.357368067020936,-12.597042756077064
11,12.0,-0.39050433,-0.05127446,-0.25332704,386.06,-192.28,15.660981254180468,2.4173687323757047,386.06,-192.28,36.004595903360894,5.557530715731746,37.0,28.81666484407001,15.54,12.967499179831506,0.5,8.183335155929989,-21.33901874581953,-13.155683589889543
11,12.0,-0.38764614,-0.0480148,-0.24725068,382.94000000000005,-130.78,15.749186838283965,2.4327483140799435,382.94000000000005,-130.78,36.20738054121483,5.592888374069791,37.0,28.583778778915647,15.54,12.862700450512042,0.5,8.416221221084353,-21.250813161716035,-12.834591940631682
11,12.0,-0.27773038,0.0871544,-0.26418224,445.57,-193.81,26.295831383342037,3.9761111580177726,445.57,-193.81,60.45411635030333,9.141079552282855,-45.0,33.25866796501134,-18.9,14.966400584255103,0.5,-78.25866796501134,71.29583138334203,-6.962836581669304
11,12.0,-0.26683897,0.09821529,-0.26024404,0.0,0.0,26.587757253188613,4.012936906883482,445.57,-193.81,61.12525392508062,9.225741948925124,-45.0,0.0,-18.9,14.966400584255103,0.5,-45.0,71.58775725318861,26.587757253188613
11,12.0,-0.24629335,0.11792879,-0.25803339,23.33000000000004,-143.69,26.88204759123255,4.050300261970875,445.57,-193.81,61.801827412243625,9.311640302271044,-45.0,1.7414204807857707,-18.9,14.966400584255103,0.5,-46.74142048078577,71.88204759123255,25.14062711044678
11,13.0,-0.40141565,-0.06527661,-0.28891724,376.49,-171.97,14.159034744811452,2.268189241577306,376.49,-171.97,32.55162087832153,5.214567066386227,41.0,28.10233162499073,17.22,12.646049231245827,0.5,12.897668375009271,-26.84096525518855,-13.943296880179277
11,13.0,-0.39954171,-0.06344268,-0.28063411,373.23,-203.98,14.141481925015675,2.280684080181035,373.23,-203.98,32.51126694561104,5.243292700336202,41.0,27.85899554409225,17.22,12.536547994841516,0.5,13.141004455907751,-26.858518074984325,-13.717513619076573
11,13.0,-0.39527437,-0.06391316,-0.27612752,381.92,-209.86,14.19708921390962,2.297557325074988,381.92,-209.86,32.639108102778216,5.282084290347395,45.0,28.507642949922865,18.9,12.82843932746529,0.5,16.492357050077135,-30.80291078609038,-14.310553736013244
11,13.0,-0.33564383,-0.02671453,-0.28472167,244.54999999999995,-244.52,19.230546642121748,3.3136694364734627,381.92,-209.86,44.2110267302379,7.618126034452491,43.0,18.25393821586625,18.06,12.82843932746529,0.5,24.74606178413375,-23.769453357878252,0.976608426255499
11,13.0,-0.33270901,-0.02657154,-0.26073107,202.23,119.19,19.45793623550743,3.344220733422553,381.92,-209.86,44.73379540543158,7.688363466138448,45.0,15.095047742362018,18.9,12.82843932746529,0.5,29.90495225763798,-25.54206376449257,4.362888493145411
11,13.0,-0.33207047,-0.02417364,-0.24754009,231.21000000000004,319.21,19.59926223570154,3.3752915699300967,381.92,-209.86,45.05870387987784,7.759795319269291,45.0,17.258201001392088,18.9,12.82843932746529,0.5,27.741798998607912,-25.40073776429846,2.3410612343094535
