Participant,trigger_no,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled,horizontal_angle_finger_pointing_unscaled,eyegaze_horiz_angle_x,horizontal_angle_finger_pointing,eyegaze_horiz_angle_x_scaled_without_tablet,side,difference,D_p,D_g
41,25.0,-0.31459275,0.15624906,-0.17788799,571.12,-47.910000000000025,34.44514524838682,5.5848970676986855,571.12,-47.910000000000025,55.56001928564795,9.00843897019798,45.0,45.3059466262194,32.4,23.55909224563409,0.5,-0.30594662621940216,-10.554854751613178,-10.86080137783258
41,25.0,-0.31043065,0.16886277,-0.18584569,575.25,-70.26999999999998,34.75052921804637,5.63345972527909,575.25,-70.26999999999998,56.05260362870879,9.086770536875177,45.0,45.63357227330983,32.4,23.729457582121118,0.5,-0.6335722733098308,-10.249470781953633,-10.883043055263464
41,25.0,-0.31028706,0.17046171,-0.18998545,569.94,-146.60000000000002,35.13545296913625,5.682401538851323,569.94,-146.60000000000002,56.67348563921678,9.165713682167189,45.0,45.212339298479286,32.4,23.51041643520923,0.5,-0.2123392984792858,-9.864547030863747,-10.076886329343033
41,26.0,-0.40428659,0.01692912,-0.22294147,-261.47,-16.480000000000018,20.05364487422756,3.440617100804195,-261.47,-16.480000000000018,32.34652918212905,5.5497153835971655,30.0,-20.741955918821944,21.6,-10.785817077787412,0.5,50.741955918821944,-9.946355125772438,40.7956007930495
41,26.0,-0.40144446,0.01832713,-0.2223582,77.41999999999996,-24.83999999999997,20.326482873115456,3.46468975794868,-261.47,-16.480000000000018,32.78661687433523,5.58854457957122,30.0,6.141592638678219,21.6,-10.785817077787412,0.5,23.85840736132178,-9.673517126884544,14.184890234437237
41,26.0,-0.40063348,0.0200198,-0.22197764,238.78,25.350000000000023,20.47674394647457,3.4866184527914985,-261.47,-16.480000000000018,33.028987985663484,5.623915564352686,34.0,18.941998065920764,24.48,-10.785817077787412,0.5,15.058001934079236,-13.52325605352543,1.5347458805538068
41,28.0,-0.31124982,0.04746807,-0.20580778,610.54,-21.579999999999984,-16.081541267415176,2.0307649851460496,610.54,-21.579999999999984,-25.93952606434068,3.2756239210405784,45.0,48.43306599869028,32.4,25.185194319318946,-0.5,-3.4330659986902816,-61.081541267415176,-64.51460726610546
41,28.0,-0.3104054,0.0508411,-0.20625089,615.69,-22.519999999999985,-16.23853190646227,2.042377367734667,615.69,-22.519999999999985,-26.19275196512364,3.2943546941560182,45.0,48.84160645450523,32.4,25.39763535634272,-0.5,-3.841606454505232,-61.23853190646227,-65.08013836096751
41,28.0,-0.30954498,0.05388802,-0.20672122,590.63,-79.31,-16.302564197324884,2.0552968754444505,590.63,-79.31,-26.29603605028504,3.315193860091899,45.0,46.85364066368533,32.4,24.36389314511637,-0.5,-1.8536406636853329,-61.302564197324884,-63.15620486101022
41,28.0,-0.35664335,-0.13766506,-0.21069406,517.56,544.34,-23.38374996505904,2.815790867090511,590.63,-79.31,-37.71798869364023,4.541870668616994,11.0,41.05712588574399,7.92,24.36389314511637,-0.5,-30.057125885743993,-34.38374996505904,-64.44087585080302
41,28.0,-0.35555521,-0.13524307,-0.21026081,524.77,549.67,-23.46887323043499,2.8319290022988177,590.63,-79.31,-37.85529252069164,4.567901480707995,13.0,41.62908252388492,9.36,24.36389314511637,-0.5,-28.629082523884918,-36.468873230434994,-65.09795575431991
41,28.0,-0.35736248,-0.1334824,-0.21086664,535.05,579.95,-23.67254463925606,2.8591576870902404,590.63,-79.31,-38.183814503120026,4.6118213492765605,13.0,42.444576870637846,9.36,24.36389314511637,-0.5,-29.444576870637846,-36.67254463925606,-66.1171215098939
41,29.0,-0.31294763,-0.0748898,-0.21158677,307.48,-57.04000000000002,15.576100669433286,2.6999960089926187,307.48,-57.04000000000002,25.12425037979589,4.355093562505095,29.0,24.39184841824825,20.88,12.683761177489092,0.5,4.608151581751748,-13.423899330566714,-8.815747748814966
41,29.0,-0.31489524,-0.0720835,-0.21356425,316.6,-53.56999999999999,15.597736022748348,2.715571721244705,316.6,-53.56999999999999,25.15914820469308,4.380217186367711,29.0,25.11532200213802,20.88,13.05996744111177,0.5,3.8846779978619814,-13.402263977251652,-9.51758597938967
41,29.0,-0.3162027,-0.07294997,-0.21422137,319.23,-52.49000000000001,15.731195074057837,2.7328884150443367,319.23,-52.49000000000001,25.37441765445529,4.408149013466515,29.0,25.323955283457103,20.88,13.168456747397697,0.5,3.676044716542897,-13.268804925942163,-9.592760209399266
41,29.0,-0.26961941,-0.02036521,-0.22043571,373.86,-21.30000000000001,22.45135573857036,3.94904889932528,373.86,-21.30000000000001,36.21403680631399,6.369815874611678,45.0,29.6576572448494,32.4,15.421981767321686,0.5,15.3423427551506,-22.54864426142964,-7.20630150627904
41,29.0,-0.26711968,-0.01465896,-0.21425095,315.0,-9.839999999999977,22.630106943141424,3.979700989158083,315.0,-9.839999999999977,36.50236249928712,6.419257695511989,45.0,24.988396811981914,32.4,12.993966342230596,0.5,20.011603188018086,-22.369893056858576,-2.3582898688404903
41,29.0,-0.26526225,-0.01027043,-0.21199997,0.0,0.0,22.723887368369567,4.010748198900172,315.0,-9.839999999999977,36.65363032518011,6.4693368448259765,45.0,0.0,32.4,12.993966342230596,0.5,45.0,-22.276112631630433,22.723887368369567
41,30.0,-0.2806733,-0.01517234,-0.20578885,455.79,80.9,23.786058381031705,4.164664426703842,455.79,80.9,38.36691216860414,6.717603720273297,45.0,36.15702026328012,32.4,18.80165053690566,0.5,8.842979736719883,-21.213941618968295,-12.370961882248412
41,30.0,-0.28071323,-0.01363251,-0.2020736,459.81,50.75999999999999,24.014858036419533,4.198151934568777,459.81,50.75999999999999,38.735966012744704,6.771619070459439,45.0,36.475919803547306,32.4,18.9674782978446,0.5,8.524080196452694,-20.985141963580467,-12.461061767127774
41,30.0,-0.2850579,-0.00628126,-0.19763976,469.8200000000001,38.13999999999999,24.2389160485796,4.232107758152855,469.8200000000001,38.13999999999999,39.09737158635889,6.826389813900555,45.0,37.26999552446141,32.4,19.380397672719933,0.5,7.730004475538593,-20.7610839514204,-13.031079475881807
41,30.0,-0.22945048,0.0934886,-0.19777347,464.05,67.19,34.61641643528229,5.825849978738802,464.05,67.19,55.83627971011033,9.397096015705689,45.0,36.81227155746097,32.4,19.142381209879705,0.5,8.187728442539033,-10.38358356471771,-2.1958551221786777
41,30.0,-0.2276656,0.09422962,-0.19959204,478.9500000000001,38.00999999999999,35.03192744143545,5.883550833244204,478.9500000000001,38.00999999999999,56.50649896303538,9.4901674940229,45.0,37.99426239078966,32.4,19.757016443210624,0.5,7.0057376092103425,-9.96807255856455,-2.962334949354208
41,30.0,-0.2291311,0.09567754,-0.20441316,237.44000000000003,-127.94,35.394049218875104,5.936455247331526,478.9500000000001,38.00999999999999,57.09060139004554,9.575502313945757,45.0,18.83569821916504,32.4,19.757016443210624,0.5,26.16430178083496,-9.605950781124896,16.558350999710065
41,32.0,-0.33992219,-0.02502854,-0.21079621,364.0,-65.63999999999999,18.91164669231472,3.3312254689113834,364.0,-65.63999999999999,30.50448611470365,5.373266681354064,32.0,28.875480760512435,23.04,15.015249995466467,0.5,3.124519239487565,-13.088353307685281,-9.963834068197716
41,32.0,-0.33933285,-0.0229676,-0.20982926,361.6,-71.36000000000001,18.974854093168176,3.3540834944331746,361.6,-71.36000000000001,30.60643965228027,5.410136676520711,32.0,28.68509297527829,23.04,14.916248347144712,0.5,3.314907024721709,-13.025145906831824,-9.710238882110115
41,32.0,-0.34140041,-0.02167639,-0.20976414,365.51,-74.1,19.149304364323623,3.377214515368755,365.51,-74.1,30.887827939654,5.447447013289802,32.0,28.99526640872225,23.04,15.077538532535574,0.5,3.0047335912777484,-12.850695635676377,-9.845962044398629
41,33.0,-0.37354207,-0.07089875,-0.20779857,291.5,-66.88,15.046072101268487,2.68574847948506,291.5,-66.88,24.26931429934607,4.332112297409402,22.0,23.12418308156422,15.84,12.024575202413397,0.5,-1.1241830815642189,-6.9539278987315125,-8.078110980295731
