Participant,trigger_no,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled,horizontal_angle_finger_pointing_unscaled,eyegaze_horiz_angle_x,horizontal_angle_finger_pointing,eyegaze_horiz_angle_x_scaled_without_tablet,side,difference,D_p,D_g
14,73.0,-0.39271504,-0.14838637,-0.19255723,93.01,225.84000000000003,9.040863361824613,3.048622219990228,,,21.273151490373312,7.173408083637006,9.0,6.983769338251934,4.59,,0.5,2.0162306617480663,0.04086336182461281,2.057094023572679
14,73.0,-0.38077632,-0.15536939,-0.18632478,136.69000000000003,213.52,9.100230114793147,3.067359254075374,,,21.41284146010828,7.217496324839356,9.0,10.26353543539036,4.59,,0.5,-1.2635354353903594,0.10023011479314725,-1.1633053205972121
14,73.0,-0.35803726,-0.16310604,-0.18562488,142.55999999999997,209.75,9.205493292658582,3.0844233302558126,,,21.66052571762565,7.257648096091928,9.0,10.704291547803413,4.59,,0.5,-1.7042915478034129,0.2054932926585824,-1.4987982551448304
14,74.0,-0.39927751,-0.14402808,-0.19433369,131.40999999999997,196.69000000000003,9.005967240678633,3.058035887705514,,,21.191040917316823,7.195558443771074,11.0,9.867080192879117,5.61,,0.5,1.1329198071208832,-1.9940327593213674,-0.8611129522004841
14,74.0,-0.39756,-0.14499247,-0.19375437,131.97000000000003,197.16,9.046193954829974,3.074220537263664,,,21.28569437571493,7.233640924181403,11.0,9.909128476175766,5.61,,0.5,1.0908715238242337,-1.953806045170026,-0.8629345213457924
14,74.0,-0.39534709,-0.1494322,-0.19505119,134.25,194.79999999999995,9.133187588358464,3.0924032885072723,,,21.49039039540747,7.2764249378576125,9.0,10.080325058169253,4.59,,0.5,-1.0803250581692527,0.13318758835846367,-0.9471374698107891
14,75.0,-0.28027093,-0.31149164,-0.17572711,-315.83,180.11,-10.86367242557664,3.6065809880132687,-315.83,180.11,-25.56222121738184,8.486285064795224,-15.0,-23.71448091710685,-7.65,-8.06292351181633,-0.5,8.714480917106851,4.13632757442336,12.850808491530211
14,75.0,-0.2749131,-0.31827441,-0.18250427,-355.4,192.97000000000003,-10.928393787508629,3.6326256497944014,-355.4,192.97000000000003,-25.714510582007804,8.54756815396623,-42.0,-26.685642649335957,-21.42,-9.073118500774225,-0.5,-15.314357350664043,31.07160621249137,15.757248861827328
14,75.0,-0.29556239,-0.33881873,-0.19158885,-321.21,193.63,-10.968562388148118,3.6590234013610488,-321.21,193.63,-25.809027299312525,8.609682063402547,-35.0,-24.118444781635347,-17.85,-8.200271225756019,-0.5,-10.881555218364653,24.03143761185188,13.149882393487228
14,75.0,-0.27582362,-0.33347341,-0.18592854,53.41999999999996,197.17,-11.624357900671228,3.84000570922596,-321.21,193.63,-27.3521141402794,9.035533433808684,-42.0,4.011105881619375,-21.42,-8.200271225756019,-0.5,-46.01110588161937,30.375642099328772,-15.635463782290604
14,75.0,-0.25587448,-0.31081161,-0.18573278,54.360000000000014,199.38,-11.7563728855564,3.869387080020508,-321.21,193.63,-27.66274539971421,9.104667799288256,-15.0,4.081686928581607,-7.65,-8.200271225756019,-0.5,-19.081686928581608,3.2436271144435995,-15.838059814138006
14,75.0,-0.25369793,-0.30018529,-0.18227173,17.33000000000004,220.74,-11.752006239792024,3.899188844773253,-321.21,193.63,-27.65247068223064,9.174791351751464,-15.0,1.3012441955908645,-7.65,-8.200271225756019,-0.5,-16.301244195590865,3.247993760207976,-13.053250435382889
14,76.0,-0.33413872,-0.34589717,-0.19966884,-314.07,192.77,-9.698988571474755,3.119413940347061,-314.07,192.77,-22.821720108680104,7.339981001636636,-16.0,-23.58232916960311,-8.16,-8.017991917665057,-0.5,7.58232916960311,6.3010114285252445,13.883340598128354
14,76.0,-0.34259418,-0.34940889,-0.20004994,-308.69,192.03,-9.81734334985105,3.139022845035186,-308.69,192.03,-23.10020890219952,7.386120754367793,-16.0,-23.17836530507461,-8.16,-7.880644203725368,-0.5,7.17836530507461,6.1826566501489495,13.36102195522356
