Participant,Trigger,Condition,Building,Left_Right,accurate_pointing,accurate_gaze,T_detection,T_pointing,T_action,T_conf,length_point,length_gaze,sum_length_gazeb,sum_length_gazem,sum_length_gazec,frequency_point,frequency_b,frequency_m,frequency_c,pointed_or_not,accurate_fused
9,100,5,10,0,0,0,0.9,2.3,1.4,2.5,1,8.2,0.5,1.3,6.4,1,1,1,4,1,0
9,101,5,5,1,1,1,0.9,11.5,10.6,0.8,1,4.7,3.6,0.6,0.5,1,5,1,1,1,1
9,102,5,11,0,0,1,0.1,1.5,1.4,0.9,1.3,10.8,2.6,0,8.2,1,2,0,6,1,1
9,103,5,0,0,0,1,1.3,0.7,-0.6,0.4,0.8,7.9,0,0.5,7.4,1,0,1,5,1,1
9,104,5,10,1,0,1,0.3,1.2,0.9,7.7,0.9,2,1.4,0,0.6,1,1,0,1,1,1
9,105,5,9,0,0,0,1.6,,,,,,,,,1,,,,0,0
9,106,5,10,0,0,0,0.3,,,,,,,,,1,,,,0,0
9,107,5,2,0,0,0,2.1,,,,,,,,,1,,,,0,0
9,108,5,6,0,0,1,2,0.8,-1.2,6.8,1.9,7.3,0,6,1.3,1,0,1,2,1,1
9,109,5,9,0,0,1,0.4,1.3,0.9,2.4,0.7,5.4,2.4,0,3,1,1,0,4,1,0
9,110,5,7,0,1,1,0.7,1.4,0.7,2.7,1.2,4,1.5,0.9,1.6,1,1,1,3,1,1
9,111,5,2,1,1,1,0.7,2,1.3,0.7,1.1,5.2,2.4,0,2.8,1,1,0,4,1,1
9,112,5,4,0,0,1,0.7,2.1,1.4,1.7,1.7,7.2,2.8,0,4.4,1,2,0,4,1,1
9,113,5,3,0,0,1,0.6,1.4,0.8,1.6,0.9,7.8,1.3,1,5.5,1,1,1,6,1,1
9,114,5,8,0,0,1,1.4,2.6,1.2,1.5,1.1,5.8,2.4,0.5,2.9,1,1,1,1,1,0
9,115,5,2,0,0,1,1,1.8,0.8,1,1.4,6.7,2.3,0.4,4,1,1,1,4,1,1
