Participants,Accuracy,MRDE
P28,43.90,2.73
P74,76.79,0.70
P22,31.11,1.84
P26,69.81,0.85
P32,65.57,1.16
P52,43.06,1.10
P21,79.03,1.54
P66,70.59,0.87
P71,81.25,0.66
P19,78.95,0.87
P58,83.33,0.67
P60,80.88,1.02
