Participants,Accuracy,MRDE
17,47.54,1.30
68,77.97,0.59
31,56.82,1.44
66,31.71,3.32
18,84.15,0.61
27,57.78,1.65
9,54.12,1.06
41,55.93,1.37
67,76.92,1.18
