participant,trigger,x,y,z,gx,gy,target,difference,side,angle_p,angle_g,l_g,l_p,cond,sgb,sgm,sgc,f_b,f_m,f_c,h_B_w,distance,dense_column,VS left,VS right,Height,DomHand,regularity,Geschlecht,r_l,regularity_updated
17,2.0,-0.31450161,-0.10145838,-0.2426948133333333,272.8533333333333,150.84666666666666,10.47058174719632,18.665618286897725,0.5,38.0,19.334381713102275,3.0,2.6,1.0,1.1,0.4000000000000001,1.5,2.0,1.0,3.0,1.5414902519994012,near,dense,0.0,0.0,120,2,1,1,1.0,1
17,6.0,-0.3181765866666666,-0.1106477333333333,-0.2570520533333333,196.01666666666668,234.33,10.463084991330977,25.110262941763835,0.5,39.0,13.889737058236165,7.099999999999999,2.3,1.0,1.3,0.9,4.9,2.0,2.0,4.0,1.6116750212264292,near,dense,0.0,0.0,120,2,1,1,1.0,1
17,7.0,-0.31670616,-0.09805203,-0.2769134733333333,413.2433333333333,5.586666666666663,12.824885165105153,13.0509190433799,0.5,42.333333333333336,29.28241428995344,6.0,2.4,1.0,0.0,0.4000000000000001,5.599999999999999,0.0,1.0,4.0,1.5537205811999684,near,dense,0.0,0.0,120,2,1,1,1.0,1
17,17.0,-0.3414466366666667,-0.1053466366666666,-0.2729159466666667,178.4366666666667,140.55666666666664,11.79872858729902,19.35598138824181,0.5,32.0,12.644018611758185,8.9,2.9,1.0,2.6,3.2000000000000006,3.1,2.0,2.0,5.0,1.4819140402385012,near,dense,0.0,0.0,120,2,1,1,1.0,1
17,20.0,-0.2452219266666666,-0.18547675,-0.2744422033333333,-337.25666666666666,107.67666666666668,-15.114175052289925,8.89800061799439,-0.5,-15.0,-23.898000617994388,3.1,2.4,1.0,2.0,1.1,0.0,1.0,1.0,0.0,2.304978273981104,near,dense,0.0,0.0,120,2,1,1,1.0,1
17,23.0,-0.2352229466666666,-0.1801478766666666,-0.2779353333333333,-253.1833333333333,249.86666666666667,-14.143938283623893,2.9405659086527947,-0.5,-15.0,-17.940565908652797,3.1,2.2,1.0,2.5,0.6,0.0,2.0,1.0,0.0,2.0818158790446133,near,dense,0.0,0.0,120,2,1,1,1.0,1
17,24.0,-0.31674385,-0.1630000266666666,-0.26279096,116.93666666666668,132.52333333333334,3.8509453027314335,9.71387015151802,0.5,18.0,8.28612984848198,6.2,2.2,1.0,2.6,0.9,2.7000000000000006,2.0,1.0,2.0,1.190680037677594,near,dense,0.0,0.0,120,2,1,1,1.0,1
17,26.0,-0.3276991416666666,0.037712255,-0.2165327483333333,517.2483333333333,288.92333333333335,20.79091607108545,5.146145452883293,0.5,41.333333333333336,36.18718788045004,4.7,2.7000000000000006,2.0,0.0,1.3999999999999997,3.2999999999999994,0.0,2.0,3.0,3.730660466611475,far,dense,0.0,0.0,120,2,1,1,1.0,1
17,28.0,-0.29980104,-0.3358070666666666,-0.2373282633333333,-461.7266666666667,365.55,-20.04159312407861,11.384608981652752,-0.5,-21.33333333333333,-32.71794231498608,2.1,1.2,2.0,1.5,0.6,0.0,2.0,1.0,0.0,2.396952292617148,far,dense,0.0,0.0,120,2,1,1,1.0,1
17,32.0,-0.3543496233333333,-0.05659563,-0.21052831,223.61666666666665,234.61666666666665,14.190545761178871,10.15452749678135,0.5,26.0,15.84547250321865,9.6,1.5,2.0,6.0,1.3999999999999997,2.2,4.0,1.0,2.0,2.480913658854624,far,dense,0.0,0.0,120,2,1,1,1.0,1
17,33.0,-0.36703719,-0.06369534,-0.2128082366666666,404.3,105.21333333333332,13.371472529803851,12.351310130202128,0.5,41.0,28.64868986979788,4.9,3.4,2.0,1.1,0.6999999999999998,3.1,1.0,1.0,3.0,2.3868047291906875,far,dense,0.0,0.0,120,2,1,1,1.0,1
