Participants,Accuracy,MRDE
P28,43.90,2.76
P74,66.07,0.91
P22,28.89,1.94
P26,73.58,0.83
P32,62.30,1.14
P52,41.67,1.08
P21,77.42,1.41
P66,50.98,1.24
P71,75.00,0.82
P19,73.68,0.79
P58,92.86,0.48
P60,77.94,1.18
