Training Step,Actor Loss,Critic Loss
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,0.0,0.0
157,0.0,0.0
158,0.0,0.0
159,0.0,0.0
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,0.0,0.0
166,0.0,0.0
167,0.0,0.0
168,0.0,0.0
169,0.0,0.0
170,0.0,0.0
171,0.0,0.0
172,0.0,0.0
173,0.0,0.0
174,0.0,0.0
175,0.0,0.0
176,0.0,0.0
177,0.0,0.0
178,0.0,0.0
179,0.0,0.0
180,0.0,0.0
181,0.0,0.0
182,0.0,0.0
183,0.0,0.0
184,0.0,0.0
185,0.0,0.0
186,0.0,0.0
187,0.0,0.0
188,0.0,0.0
189,0.0,0.0
190,0.0,0.0
191,0.0,0.0
192,0.0,0.0
193,0.0,0.0
194,0.0,0.0
195,0.0,0.0
196,0.0,0.0
197,0.0,0.0
198,0.0,0.0
199,0.0,0.0
200,0.0,0.0
201,0.0,0.0
202,0.0,0.0
203,0.0,0.0
204,0.0,0.0
205,0.0,0.0
206,0.0,0.0
207,0.0,0.0
208,0.0,0.0
209,0.0,0.0
210,0.0,0.0
211,0.0,0.0
212,0.0,0.0
213,0.0,0.0
214,0.0,0.0
215,0.0,0.0
216,0.0,0.0
217,0.0,0.0
218,0.0,0.0
219,0.0,0.0
220,0.0,0.0
221,0.0,0.0
222,0.0,0.0
223,0.0,0.0
224,0.0,0.0
225,0.0,0.0
226,0.0,0.0
227,0.0,0.0
228,0.0,0.0
229,0.0,0.0
230,0.0,0.0
231,0.0,0.0
232,0.0,0.0
233,0.0,0.0
234,0.0,0.0
235,0.0,0.0
236,0.0,0.0
237,0.0,0.0
238,0.0,0.0
239,0.0,0.0
240,0.0,0.0
241,0.0,0.0
242,0.0,0.0
243,0.0,0.0
244,0.0,0.0
245,0.0,0.0
246,0.0,0.0
247,0.0,0.0
248,0.0,0.0
249,0.0,0.0
250,0.354458212852478,96.94847869873047
251,0.155013769865036,62.39362716674805
252,0.16065582633018494,92.58480834960938
253,0.03623145818710327,71.46267700195312
254,0.019754335284233093,94.05806732177734
255,0.0665149837732315,85.43740844726562
256,0.06859737634658813,75.31416320800781
257,0.12082000076770782,111.01213836669922
258,0.1420801430940628,94.90608215332031
259,0.23048315942287445,94.63164520263672
260,0.2223753035068512,77.415771484375
261,0.1891893893480301,81.35729217529297
262,0.26179808378219604,87.97017669677734
263,0.27170276641845703,92.02389526367188
264,0.2987756133079529,118.4841537475586
265,0.18244558572769165,82.40199279785156
266,0.3133554458618164,76.39041137695312
267,0.721169114112854,54.357200622558594
268,0.6903963088989258,62.30751419067383
269,0.6725873947143555,87.45498657226562
270,1.427939534187317,48.52565383911133
271,0.3932499289512634,35.410240173339844
272,0.9074068665504456,31.360897064208984
273,0.78965163230896,31.48672103881836
274,1.2836593389511108,49.960594177246094
275,1.5473681688308716,30.465896606445312
276,2.445044755935669,40.64396667480469
277,3.777646780014038,61.25303649902344
278,5.322047233581543,53.38758850097656
279,4.227379322052002,70.53439331054688
280,6.190773963928223,58.506919860839844
281,5.44591760635376,65.83555603027344
282,4.754613399505615,43.063011169433594
283,3.7772297859191895,41.710914611816406
284,3.6885132789611816,42.63096618652344
285,1.277956247329712,56.72755432128906
286,1.3491077423095703,53.85322570800781
287,5.106283187866211,47.63382339477539
288,0.659612774848938,35.931785583496094
289,1.3032596111297607,27.746129989624023
290,4.146883964538574,79.15339660644531
291,0.8480954170227051,29.657817840576172
292,1.2230799198150635,40.564598083496094
293,1.5569936037063599,32.07291030883789
294,2.148350238800049,31.981258392333984
295,0.49706530570983887,51.32238006591797
296,0.7387751340866089,64.91007995605469
297,1.0872628688812256,27.035831451416016
298,1.1453977823257446,27.81027603149414
299,2.6604392528533936,32.85600280761719
300,1.9908838272094727,34.05683517456055
301,3.111478805541992,26.736549377441406
302,2.2634384632110596,25.30562973022461
303,2.019740581512451,23.684688568115234
304,2.841735601425171,36.5030517578125
305,1.8574576377868652,23.29141616821289
306,2.985124111175537,37.33538055419922
307,1.0920062065124512,21.050289154052734
308,3.00779390335083,24.979978561401367
309,3.482668399810791,27.575651168823242
310,1.9216138124465942,32.490966796875
311,2.7505943775177,21.994409561157227
312,6.266753196716309,30.19671630859375
313,2.6707983016967773,44.38872146606445
314,0.9459125995635986,33.8018913269043
315,4.566506862640381,22.93975830078125
316,1.5296893119812012,29.319583892822266
317,5.352931022644043,32.21973419189453
318,1.4813311100006104,28.8729305267334
319,0.6655088663101196,38.45075988769531
320,1.7452410459518433,19.558725357055664
321,0.5913025140762329,27.540180206298828
322,4.086322784423828,21.291152954101562
323,2.4688878059387207,46.97746276855469
324,5.382332801818848,33.30060577392578
325,1.1556739807128906,20.583309173583984
326,4.591758728027344,13.983901977539062
327,3.9131970405578613,25.07335090637207
328,7.0745697021484375,15.632408142089844
329,7.671633720397949,22.672983169555664
330,3.6904616355895996,15.432759284973145
331,4.527225017547607,35.85784912109375
332,4.487025260925293,23.789152145385742
333,5.340342044830322,25.339731216430664
334,6.154786109924316,24.029354095458984
335,1.879262089729309,16.61919403076172
336,1.8691270351409912,20.479692459106445
337,9.23932933807373,37.79482650756836
338,1.8567029237747192,17.96390724182129
339,11.175409317016602,20.188791275024414
340,8.1952486038208,32.17695236206055
341,8.150859832763672,29.224178314208984
342,1.4418160915374756,24.58202362060547
343,4.863794326782227,20.626724243164062
344,15.455720901489258,29.270904541015625
