Participants,Accuracy,MRDE
P28,53.66,2.52
P74,82.14,0.69
P22,33.33,1.73
P26,69.81,0.81
P32,70.49,1.16
P52,34.72,1.23
P21,82.26,1.41
P66,68.63,0.90
P71,81.25,0.55
P19,77.19,0.85
P58,80.95,0.76
P60,86.76,0.91
